子任务ID	父任务ID	序列	子任务组	禁止进入联机	显示状态	[领取条件]组合	[领取条件]1类型	[领取条件]1参数1	[领取条件]1参数2	[领取条件]1参数3	[领取条件]1参数4	[领取条件]1参数5	[领取条件]2类型	[领取条件]2参数1	[领取条件]2参数2	[领取条件]2参数3	[领取条件]2参数4	[领取条件]2参数5	[领取条件]3类型	[领取条件]3参数1	[领取条件]3参数2	[领取条件]3参数3	[领取条件]3参数4	[领取条件]3参数5	[领取条件]4类型	[领取条件]4参数1	[领取条件]4参数2	[领取条件]4参数3	[领取条件]4参数4	[领取条件]4参数5	[领取条件]5类型	[领取条件]5参数1	[领取条件]5参数2	[领取条件]5参数3	[领取条件]5参数4	[领取条件]5参数5	[领取条件]6类型	[领取条件]6参数1	[领取条件]6参数2	[领取条件]6参数3	[领取条件]6参数4	[领取条件]6参数5	[领取条件]7类型	[领取条件]7参数1	[领取条件]7参数2	[领取条件]7参数3	[领取条件]7参数4	[领取条件]7参数5	[领取条件]8类型	[领取条件]8参数1	[领取条件]8参数2	[领取条件]8参数3	[领取条件]8参数4	[领取条件]8参数5	[领取条件]9类型	[领取条件]9参数1	[领取条件]9参数2	[领取条件]9参数3	[领取条件]9参数4	[领取条件]9参数5	[领取条件]10类型	[领取条件]10参数1	[领取条件]10参数2	[领取条件]10参数3	[领取条件]10参数4	[领取条件]10参数5	[完成条件]组合	[完成条件]1类型	[完成条件]1参数1	[完成条件]1参数2	[完成条件]1复杂参数	[完成条件]1次数	[完成条件]2类型	[完成条件]2参数1	[完成条件]2参数2	[完成条件]2复杂参数	[完成条件]2次数	[完成条件]3类型	[完成条件]3参数1	[完成条件]3参数2	[完成条件]3复杂参数	[完成条件]3次数	[完成条件]4类型	[完成条件]4参数1	[完成条件]4参数2	[完成条件]4复杂参数	[完成条件]4次数	[完成条件]5类型	[完成条件]5参数1	[完成条件]5参数2	[完成条件]5复杂参数	[完成条件]5次数	[完成条件]6类型	[完成条件]6参数1	[完成条件]6参数2	[完成条件]6复杂参数	[完成条件]6次数	[失败条件]组合	[失败条件]1类型	[失败条件]1参数1	[失败条件]1参数2	[失败条件]1复杂参数	[失败条件]1次数	[失败条件]2类型	[失败条件]2参数1	[失败条件]2参数2	[失败条件]2复杂参数	[失败条件]2次数	[失败条件]3类型	[失败条件]3参数1	[失败条件]3参数2	[失败条件]3复杂参数	[失败条件]3次数	[失败条件]4类型	[失败条件]4参数1	[失败条件]4参数2	[失败条件]4复杂参数	[失败条件]4次数	[失败条件]5类型	[失败条件]5参数1	[失败条件]5参数2	[失败条件]5复杂参数	[失败条件]5次数	[失败条件]6类型	[失败条件]6参数1	[失败条件]6参数2	[失败条件]6复杂参数	[失败条件]6次数	[任务指引]类型	[任务指引]自动开启或关闭	[任务指引]参数1	[任务指引]参数2	[任务指引]参数3	[任务指引]参数4	[任务指引]参数5	[任务指引]场景ID	[任务指引]样式	[任务指引]显示层级	场景内指引	完成父任务	失败父任务	是存档点	[任务道具]ID	[任务道具]数量	[执行]1类型	[执行]1参数1	[执行]1参数2	[执行]1参数3	[执行]1参数4	[执行]1参数5	[执行]2类型	[执行]2参数1	[执行]2参数2	[执行]2参数3	[执行]2参数4	[执行]2参数5	[执行]3类型	[执行]3参数1	[执行]3参数2	[执行]3参数3	[执行]3参数4	[执行]3参数5	[执行]4类型	[执行]4参数1	[执行]4参数2	[执行]4参数3	[执行]4参数4	[执行]4参数5	[执行]5类型	[执行]5参数1	[执行]5参数2	[执行]5参数3	[执行]5参数4	[执行]5参数5	[失败执行]1类型	[失败执行]1参数1	[失败执行]1参数2	[失败执行]1参数3	[失败执行]1参数4	[失败执行]1参数5	[失败执行]2类型	[失败执行]2参数1	[失败执行]2参数2	[失败执行]2参数3	[失败执行]2参数4	[失败执行]2参数5	[失败执行]3类型	[失败执行]3参数1	[失败执行]3参数2	[失败执行]3参数3	[失败执行]3参数4	[失败执行]3参数5	[失败执行]4类型	[失败执行]4参数1	[失败执行]4参数2	[失败执行]4参数3	[失败执行]4参数4	[失败执行]4参数5	[失败执行]5类型	[失败执行]5参数1	[失败执行]5参数2	[失败执行]5参数3	[失败执行]5参数4	[失败执行]5参数5	[开始执行]1类型	[开始执行]1参数1	[开始执行]1参数2	[开始执行]1参数3	[开始执行]1参数4	[开始执行]1参数5	[开始执行]2类型	[开始执行]2参数1	[开始执行]2参数2	[开始执行]2参数3	[开始执行]2参数4	[开始执行]2参数5	[开始执行]3类型	[开始执行]3参数1	[开始执行]3参数2	[开始执行]3参数3	[开始执行]3参数4	[开始执行]3参数5	[开始执行]4类型	[开始执行]4参数1	[开始执行]4参数2	[开始执行]4参数3	[开始执行]4参数4	[开始执行]4参数5	[开始执行]5类型	[开始执行]5参数1	[开始执行]5参数2	[开始执行]5参数3	[开始执行]5参数4	[开始执行]5参数5	独占NPC	共享NPC	独占优先级	试用角色列表	加载技能组	独占情境ID	CoopPointID	刷新是否限定单机
2051721	20517	23				1	9	24900					1	2051720	3																																																					5	100524																																																												1		Q20517_Wood	10				3	2	2				1																																																															19	3	133004918,2																												1403,160001,1599,1600		1100					
2051722	20517	24				1	9	24900					1	2051721	3				3	100524	1																																															2	2051728																																																												2		1403					3	2	2				1	100474	1	29	100524																																																																																									1403,160001,1599,1600		1100					
2051723	20517	25				1	9	24900					1	2051722	3				3	100474	1																																															2	2051731																																																												2		160001					1008	2	2		1		1			24	24900					29	100474					35	24900	1																																																																												160001,1403,1599,1600		1100					
2051730	20517	26			1	1	9	24900					32	24900	1	2			34	24900	2	1																																														2	2051740																																																																			3			1																																																																																																160001,1599,1600		1100					
2051731	20517	27				1	9	24900					1	2051730	3																																																					2	2051741																																																												2		1525					3	2	2				1	100510	1																																																													34	24900	3	1																											160001,1473,1525,1599,1600		1100					
2051732	20517	28				1	9	24900					1	2051731	3				3	100510																																																2	2051742																																																												2		160001					1008	2	2				1			29	100510																																																											34	24900	3	2																											160001,1473,1525,1599,1600		1100					
2051733	20517	30				1	9	24900					1	2051740	3																																																					2	2051743																																																												2		160001					3	2	2																																																																			34	24900	3	3																											160001,1473,1525,1599,1600		1100					
2051734	20517	32				1	9	24900					1	2051733	3																																																					2	2051744																																																												2		1525					3	2	2				1																																																															34	24900	3	4																											160001,1473,1525,1599,1600		1100					
2051735	20517	33				1	9	24900					1	2051734	3																																																					2	2051747																																																												1		Q20517_DaoBaoTuan	40				3	2	2				1																																																															34	24900	3	5																											160001,1473,1525,1599,1600		1100					
2051736	20517	34				1	9	24900					1	2051735	3																																																					20			1330039111	1																																																									1		Q20517_DaoBaoTuan	20				3	2	2				1																																																															19	3	133003911,2				34	24900	3	6																					160001,1473,1525,1599,1600		1100					
2051737	20517	35				1	9	24900					1	2051736	3																																																					2	2051745																																																												2		1473					3	2	2				1																																																															34	24900	3	7																											160001,1473,1525,1599,1600		1100					
2051738	20517	37				1	9	24900					1	2051742	3																																																					2	2051746																																																												2		160001					1008	2	2		1		1			24	24900					35	24900	2				33	1																																															34	24900	3	9																											160001,1473,1525,1599,1600		1100					
2051739	20517	14				1	9	24900					1	2051712	4																																																					2	2051732																																																												2		1419					3	2	2				1	100506	1	14	2051712																																																																																									1419,1455,160001,1599,1600		1100					
2051740	20517	29				1	9	24900					1	2051732	3																																																					2	2051748																																																																						1																																																																																																160001,1473,1525,1599,1600		1100					
2051741	20517	31				1	9	24900					1	99902	3																																																					2	2051749																																																																						1																																																																																																160001,1473,1525,1599,1600		1100					
2051742	20517	36				1	9	24900					1	2051737	3																																																					119	4	1																																																											2		160001					1008	2	2				1																																																															34	24900	3	8																											160001,1473,1525,1599,1600		1100					
2051743	20517	7			1	1	9	24900					1	2051705	3																																																					2	2051736																																																																			3			1			1																																																																																													160001,1435,1599,1600		1100					
2051801	20518	1					9	24100																																																												2	2051801																																																												2		1525					3	1	2				1																																																																																													1525,1433,1473		1100					
2051802	20518	2				1	1	2051801	3				9	24100																																																						20			1330039122	1																											2	2051803																													1		Q20518_DaoBaoTuan					3	2	2				1																																																															19	3	133003912,2																												1525,1433,1473		1100					
2051803	20518	3				1	1	2051802	3				9	24100																																																						20			1330039121	1																											2	2051803																													1		Q20518_DaoBaoTuan	20				3	2	2				1																																																																																													1525,1433,1473		1100					
2051804	20518	4				1	1	2051803	3				9	24100																																																						2	2051802																																																												2		1525					3	3	2		1		1			24	24100																																																																																									1525,1433,1473		1100					
2051805	20518	5			1	1	1	2051801	3				9	24100																																																					2	2	2051803																														20			1330039121	1																										2		1433					3	2	2				1			19	3	133003912,1																																																																																								1525,1433,1473		1100					
2051806	20518	6				1	1	2051805	3				9	24100																																																						2	2051804																																																												2		1525					3	3	2		1		1			24	24100																																																																																									1525,1433,1473		1100					
2051901	20519	1					9	24101																																																												2	2051901																																																												2		1525					3	1	2				1																																																																																													1525,1433,1473		1100					
2051902	20519	2				1	1	2051901	3				9	24101																																																						20			1330039122	1																																																									1		Q20518_DaoBaoTuan					3	2	2				1																																																															19	3	133003912,2																												1525,1433,1473		1100					
2051903	20519	3				1	1	2051902	3				9	24101																																																						20			1330039121	1																																																									1		Q20518_DaoBaoTuan	20				3	2	2				1																																																																																													1525,1433,1473		1100					
2051904	20519	4				1	1	2051903	3				9	24101																																																						2	2051902																																																												2		1525					3	3	2		1		1			24	24101																																																																																									1525,1433,1473		1100					
2052001	20520	1				1	9	28800																																																												2	2052001																																																												2		167201					3	1	2	1			1																																																																																													1672		1100					
2052002	20520	2			1	1	1	2052001	3				9	28800																																																						2	2052002																																																																					2	1																																																																																																1672		1100					
2052003	20520	3			1	1	1	2052001	3				9	28800																																																						2	2052003																																																																					2	1						28	2052006																																																																																									1672		1100					
2052004	20520	4				1	1	2052002	3				9	28800																																																						20			133002930	1																																																									1		Q2052004point					3	4	2	1			1																																																															46	3	133002930																												1672		1100					
2052005	20520	5				1	1	2052003	3				9	28800																																																						5	108021			1																																																									2		167201					3	2	2	1			1																																																															28	2052006																													1672		1100					
2052006	20520	6				1	1	2052005	3				9	28800																																																						27	2052006																																																												2		167201					3	2	2	1			1																																																																																													1672		1100					
2052007	20520	7				4	9	28800					1	2052004	3				1	2052006	3																																															2	2052004																																																												2		167201					3	2	2	1			1			47	133002930																																																																																									1672		1100					
2052008	20520	12			1	1	1	99902	3				9	28800																																																						4	2052008																																																																			3	2	2	1																																																																		46	3	133001924																												1672							
2052009	20520	9				1	1	2052007	3				9	28800																																																						20			133001924	1																																																									1		Q2052008point	30				3	2	2	1			1	100705	1																																																													46	3	133001924																												1672		1100					
2052010	20520	10				1	1	2052009	3				9	28800																																																						2	2052005																													8																															2		167201					3	2	2	1	1		1			29	100705					24	28800																																																					47	133001924																													1672		1100					
2052011	20520	11			1	1	1	99902	3				9	28800																																																						2	2052006																																																												2		167201					3	2	2	1																																																																																																1672		1100					
2052101	20521	1					9	29200																																																												2	2052101																																																												2		1664					3	1	2				1	100710	1	51	1	1	3																																																									1	100710	1																												1664,1665		1100					
2052102	20521	2				1	1	2052101	3				9	29200																																																						2	2052102																													2	8	2052102				111	100710	1																							2		166501					3	2	2							1	100710	1																												1	100710	1				14	2052101																							46	3	133002937																												1664,1665		1100					
2052103	20521	3				1	1	2052102	3				9	29200																																																						2	2052103																																																												2		166501					3	3	2		1		1			47	133002937					24	29200																																																																																			1664,1665		1100					
2060001	20600	1					9	23600																																																												2	2060001																																																												2		1517					1008	1	2				1																																																																																													1517		1100					
2060002	20600	2			1		9	23600																																																												2	2060002																													2	2	2060003				2	2060004																															3	2	2	1																																																																																																1517		1100					
2060003	20600	3			1		9	23600																																																												2	2060003																													2	2	2060002				2	2060004																															3	2	2	1																																																																																																1517		1100					
2060004	20600	4			1		9	23600																																																												2	2060004																													2	2	2060002				2	2060003																															3	2	2	1																																																																																																1517		1100					
2060005	20600	5				1	9	23600					1	2060002	3																																																					20			1330035141	1																																																									1		Q20600Leve1Spawn	50				3	2	2				1	100517	1																																																													19	3	133003514,2																												1517		1100					
2060006	20600	6				1	9	23600					1	2060005	3																																																					2	2060006																																																												2		1517					1008	3	2		1		1			24	23600					29	100517					19	3	133003514,1																																																																												1517		1100					
2060007	20600	7				1	9	23600					1	2060003	3																																																					20			1330043141	1																																																									1		Q20600Level2Spawn	50				3	2	2				1	100518	1																																																													19	3	133004314,2																												1517		1100					
2060008	20600	8				1	9	23600					1	2060007	3																																																					2	2060008																																																												2		1517					1008	3	2		1		1			24	23600					29	100518					19	3	133004314,1																																																																												1517		1100					
2060009	20600	9				1	9	23600					1	2060004	3																																																					20			1330043151	1																																																									1		Q20600Level3Spawn	50				3	2	2				1	100519	1																																																													19	3	133004315,2																												1517		1100					
2060010	20600	10				1	9	23600					1	2060009	3																																																					2	2060010																																																												2		1517					1008	3	2		1		1			24	23600					29	100519					19	3	133004315,1																																																																												1517		1100					
2060101	20601	1				1	38	2060102	3				1	35723	3				44	10001																																																																																																													2		1409					3	1	2				1																																																																																													1409,1413		1100					
2060102	20601	2					1	2060101	3																																																											20			1330035771	1																																																									1		Q20601CluePos	30				3	2	2				1																																																															19	3	133003577,2																												1409,1413		1100					
2060103	20601	3					1	2060102	3																																																											20			1330035752	1																																																									1		Q20601JackRescue	50				3	2	2				1																																																															19	3	133003575,3																												1409,1413		1100					
2060104	20601	4					1	2060103	3																																																											20			1330035751	1																																																									1		Q20601JackRescue	50				3	2	2																																																																			19	3	133003575,2																												1409,1413		1100					
2060105	20601	5					1	2060104	3																																																											2	2060105																																																												2		1413					3	2	2				1																																																																																													1409,1413		1100					
2060106	20601	6					1	2060105	3																																																											20			1330035761	1																																																									1		Q20601CampPos	50				3	2	2				1																																																															19	3	133003576,2																												1409,1413		1100					
2060107	20601	7				1	1	2060106	3																																																											2	2060107																														2	2060106																													2		1409					3	3	2		1		1																																																																																													1409,1413		1100					
2060108	20601	8			1	1	1	2060106	3				1	2060107	2																																																					2	2060106																														2	2060107																																							1			1																																																																																													1409,1413		1100					
2060109	20601	9					1	2060108	3																																																											2	2060108																																																												2		1409					3	3	2		1		1																																																																																													1409,1413		1100					
2060201	20602	1				5	1	31101	3				44	10003					38	2060202	3				38	2060203																																									2																																																														2		1409					3	1	2				1																																																																																														1409	1100					
2060202	20602	2	1				1	2060201	3																																																											20			1330035781	1																																																									1		Q20602Camp	30				3	2	2				1			23	2060205	1																																																										19	3	133003578,2																													1409	1100					
2060203	20602	3	1				1	2060201	3																																																											20			1330035801	1																																																									1		Q20602FireCamp2	30				3	2	2				1			23	2060205	1																																																										19	3	133003580,2																													1409	1100					
2060204	20602	4	1				1	2060201	3																																																											20			1330035791	1																																																									1		Q20602FireCamp	30				3	2	2				1			23	2060205	1																																																										19	3	133003579,2																													1409	1100					
2060205	20602	5			1	1	1	2060201	3																																																											24	2060205			3																																																																3	2	2	1			1			23	2060206	1																																																																																									1409	1100					
2060206	20602	6			1	1	1	2060201	3																																																											24	2060206			1																																																																3	2	2	1			1																																																															19	3	133003578,2				19	3	133003579,2				19	3	133003580,2																	1409	1100					
2060207	20602	7			1	1	1	2060202	2				1	2060203	3				1	2060204	3																																															20			1330035781	1																																																																3	2	2	1			1																																																															19	3	133003578,2																													1409	1100					
2060208	20602	8			1	1	1	2060202	3				1	2060203	2				1	2060204	3																																															20			1330035801	1																																																																3	2	2	1			1																																																															19	3	133003580,2																													1409	1100					
2060209	20602	9			1	1	1	2060202	3				1	2060203	3				1	2060204	2																																															20			1330035791	1																																																																3	2	2	1			1																																																															19	3	133003579,2																													1409	1100					
2060210	20602	10				1	1	2060207	3																																																											20			1330036051	1																																																									1		Q20602Camp	30				3	2	2				1																																																															19	3	133003605,2																													1409	1100					
2060211	20602	11				1	1	2060208	3																																																											20			1330036071	1																																																									1		Q20602FireCamp2	30				3	2	2				1																																																															19	3	133003607,2																													1409	1100					
2060212	20602	12				1	1	2060209	3																																																											20			1330036061	1																																																									1		Q20602FireCamp	30				3	2	2				1																																																															19	3	133003606,2																													1409	1100					
2060213	20602	13				2	1	2060210	3				1	2060211	3				1	2060212	3																																															2	2060205																																																												2		1409					3	3	2		1		1																																																																																														1409	1100					
2060301	20603	1				1	38	2060302	3				1	39604	3				2	2060201	3																																																																																																												2		1409					3	1	2				1																																																																																														1409	1100					
2060302	20603	2	1				1	2060301	3																																																											20			1330035781	1																																																									1		Q20602Camp	30				3	2	2				1			23	2060305	1																																																										19	3	133003578,2																													1409	1100					
2060303	20603	3	1				1	2060301	3																																																											20			1330035801	1																																																									1		Q20602FireCamp2	30				3	2	2				1			23	2060305	1																																																										19	3	133003580,2																													1409	1100					
2060304	20603	4	1				1	2060301	3																																																											20			1330035791	1																																																									1		Q20602FireCamp	30				3	2	2				1			23	2060305	1																																																										19	3	133003579,2																													1409	1100					
2060305	20603	5			1	1	1	2060301	3																																																											24	2060305			3																																																																3	2	2	1			1			23	2060306	1																																																																																									1409	1100					
2060306	20603	6			1	1	1	2060301	3																																																											24	2060306			1																																																																3	2	2	1			1																																																															19	3	133003578,2				19	3	133003579,2				19	3	133003580,2																	1409	1100					
2060307	20603	7			1	1	1	2060302	2				1	2060303	3				1	2060304	3																																															20			1330035781	1																																																																3	2	2	1			1																																																															19	3	133003578,2																													1409	1100					
2060308	20603	8			1	1	1	2060302	3				1	2060303	2				1	2060304	3																																															20			1330035801	1																																																																3	2	2	1			1																																																															19	3	133003580,2																													1409	1100					
2060309	20603	9			1	1	1	2060302	3				1	2060303	3				1	2060304	2																																															20			1330035791	1																																																																3	2	2	1			1																																																															19	3	133003579,2																													1409	1100					
2060310	20603	10				1	1	2060307	3																																																											20			1330036051	1																																																									1		Q20602Camp	30				3	2	2				1																																																															19	3	133003605,2																													1409	1100					
2060311	20603	11				1	1	2060308	3																																																											20			1330036071	1																																																									1		Q20602FireCamp2	30				3	2	2				1																																																															19	3	133003607,2																													1409	1100					
2060312	20603	12				1	1	2060309	3																																																											20			1330036061	1																																																									1		Q20602FireCamp	30				3	2	2				1																																																															19	3	133003606,2																													1409	1100					
2060313	20603	13				2	1	2060310	3				1	2060311	3				1	2060312	3																																															2	2060305																																																												2		1409					3	3	2		1		1																																																																																														1409	1100					
2070001	20700	1					9	24300																																																											2	2	2070021				2	2070031				2	2070041																																																		2		1654					3	1	2				1																																																															19	3	133001384,2																												1654		1100					
2070002	20700	2				1	9	24300					1	2070009	3																																																					20			1330013831	1																																																									1		Q20700_battle	15				3	2	2				1			19	3	133001391,2																																																										19	3	133001383,2				15	3	133001384																						1654		1100					
2070004	20700	4			1	1	9	24300					1	2070026	3				1	2070023	3																																															2	2070005																																																												2		1654					3	3	2	1	1					33	0																																																																																											1100					
2070005	20700	3			1	1	9	24300					1	2070023	3																																																					20			1330013841	1																											20			1330013841	2																										2		2211					3	1	2	1																																																																																																		1100					
2070006	20700	5			1	1	9	24300					1	2070024	3				1	2070025	3																																															2	2070033																																																												2		1654					3	3	2	1	1					33	2																																																																																											1100					
2070007	20700	6				1	9	24300					1	2070010	3																																																					20			1330013851	1																																																									1		Q20700_battle2	25				3	2	2				1			19	3	133001391,2																																																										19	3	133001385,2				19	3	133001386,2																						1654		1100					
2070008	20700	7				1	9	24300					1	2070011	3																																																				1	20			1330013881	1	20			1330013891	1	20			1330013901	1																																															1		Q20700_battle3	25				3	2	2				1																																																															19	3	133001388,2				19	3	133001389,2				19	3	133001390,2																1654		1100					
2070009	20700	8			1		9	24300																																																												2	2070021																																																												2		2211					3	1	2	1																																																																																																		1100					
2070010	20700	9			1		9	24300																																																												2	2070031																																																												2		2211					3	1	2	1																																																																																																		1100					
2070011	20700	10			1		9	24300																																																												2	2070041																																																												2		2211					3	1	2	1																																																																																																		1100					
2070012	20700	11			1	1	9	24300					1	2070026	2				1	2070023	3																																															2	2070002																																																												2		1654					3	3	2	1						33	1																																																																																											1100					
2070013	20700	12			1	1	9	24300					1	2070025	2				1	2070024	3																																															2	2070032																																																												2		1654					3	3	2	1						33	3																																																																																											1100					
2070014	20700	13			1	1	9	24300					1	2070020	3				1	2070021	3																																															2	2070042																																																												2		1654					3	3	2	1						33	5																																																																																											1100					
2070015	20700	14			1	1	9	24300					1	2070020	4				1	2070021	4																																															2	2070043																																																												2		1654					3	3	2	1						33	4																																																																																											1100					
2070016	20700	15			1	1	9	24300					1	2070024	3																																																					20			1330013861	1																											20			1330013861	2																										2		2211					3	1	2	1			1			19	3	133001391,2																																																																																										1100					
2070017	20700	16				1	9	24300					1	2070002	3																																																				2	2	2070002				2	2070005																																																							2		1654					3	3	2		1		1			15	3	133001384				24	24300					19	3	133001383,1																																																																												1654		1100					
2070018	20700	17				1	9	24300					1	2070007	3																																																				2	2	2070032				2	2070033																																																							2		1654					3	3	2		1		1			24	24300					19	3	133001385,1				19	3	133001386,1																																																																												1654		1100					
2070019	20700	18				1	9	24300					1	2070008	3																																																				2	2	2070042				2	2070043																																																							2		1654					3	3	2		1		1			24	24300					19	3	133001388,1				19	3	133001388,1																																																																												1654		1100					
2070020	20700	19			1		1	2070011	3				9	24300																																																					1	20			1330013881	1																										2	20			13330013891	1	20			13330013901	1																					2		2211					3	1	2	1			1																																																																																															1100					
2070021	20700	20			1		1	2070011	3				9	24300																																																					1	20			1330013881	1	20			1330013891	1																					2	20			1330013901	1																										2		2211					3	1	2	1			1																																																																																															1100					
2070022	20700	21			1		1	2070011	3				9	24300																																																						20			1330013901	1																																																									2		2211					3	1	2	1			1																																																																																															1100					
2070023	20700	22			1		9	24300					1	2070002	3																																																				2	20			1330013911	1																																																									2		1654					3	1	2	1			1			19	3	133001384,1																																																																																										1100					
2070024	20700	23			1		9	24300					1	2070007	3																																																				2	20			1330013911	1																																																									2		1654					3	1	2	1			1																																																																																															1100					
2070025	20700	24			1		9	24300					1	2070010	3																																																				2	20			1330013861	1																																																									2		1654					3	1	2	1			1																																																																																															1100					
2070026	20700	25			1		9	24300					1	2070009	3																																																				2	20			1330013841	1																																																									2		1654					3	1	2	1			1																																																																																															1100					
2070027	20700	26			1	1	9	24300					1	2070009	3																																																				2	2	2070002				2	2070005																																																							2		1654					3	1	2	1			1																																																																																															1100					
2070101	20701	1					9	24000																																																											2	2	2070102				2	2070103																																																							2		1631					3	1	2				1																																																																																													1631		1100					
2070102	20701	2				1	9	24000					1	2070101	3																																																				2	5	108068	1			5	108069	1			5	108070	1																																																	2		1631					3	2	2				1																																																																																													1631		1100					
2070103	20701	3				1	9	24000					1	2070102	3																																																				2	27	2070103																																																												2		1631					3	3	2				1																																																															28	2070103																													1631		1100					
2070104	20701	4			1	1	9	24000					1	2070102	3				20	2070103	207010301																																														1	2	2070106																																																												2		1631					3	3	2	1			1			33	0																																																																																																
2070105	20701	5			1	1	9	24000					1	2070102	3				20	2070103	207010302																																														1	2	2070107																																																												2		1631					3	3	2	1			1			33	1																																																																																																
2070106	20701	6			1	1	9	24000					1	2070102	3				20	2070103	207010303																																														1	2	2070108																																																												2		1631					3	3	2	1			1			33	2																																																																																																
2070107	20701	7				1	9	24000					1	2070103	3																																																				2	2	2070106				2	2070107				2	2070108																																																		2		1631					3	3	2		1		1			24	24000																																																																																									1631		1100					
2070201	20702	1					9	24500																																																												2	2070202																																																												2		1437					3	1	2				1																																																																																													1437		1100					
2070202	20702	2				1	9	24500					1	2070201	3																																																				2	2	2070291				2	2070292				2	2070294																			2	2	2070293																													2		1437					3	2	2		1		1			24	24500																													14	2070202																																																											1437		1100					
2070203	20702	3			1	1	9	24500					1	2070201	3																																																					2	2070213																													2	2	2070211				2	2070212																								2		1437					3	2	2	1																																																																																																							
2070204	20702	4			1	1	9	24500					1	2070201	3																																																					2	2070222																													2	2	2070221				2	2070223																								2		1437					3	2	2	1																																																																																																							
2070205	20702	5			1	1	9	24500					1	2070201	3																																																					2	2070232																													2	2	2070231				2	2070233																								2		1437					3	2	2	1																																																																																																							
2070206	20702	6			1	1	9	24500					1	2070205	3																																																				1	119	1	1			119	2	1			119	3	1																		2																															2		1437					3	2	2	1						33	0																																																																																																
2070207	20702	7			1	1	9	24500					1	2070205	4																																																				1	119	1	2			119	2	2			119	3	2																		2																															2		1437					3	2	2	1																																																																																																							
2070208	20702	8			1	4	9	24500					1	2070205	3				1	2070205	4																																														1	119	1	1			119	2	1			119	3	2																		1																															2		1437					3	2	2	1						33	1																																																																																																
2070209	20702	9			1	4	9	24500					1	2070205	3				1	2070205	4																																														1	119	1	1			119	2	2			119	3	1																		1																															2		1437					3	2	2	1						33	1																																																																																																
2070210	20702	10			1	4	9	24500					1	2070205	3				1	2070205	4																																														1	119	1	2			119	2	1			119	3	1																		1																															2		1437					3	2	2	1						33	1																																																																																																
2070211	20702	11			1	4	9	24500					1	2070205	3				1	2070205	4																																														1	119	1	1			119	2	2			119	3	2																		1																															2		1437					3	2	2	1						33	2																																																																																																
2070212	20702	12			1	4	9	24500					1	2070205	3				1	2070205	4																																														1	119	1	2			119	2	1			119	3	2																		1																															2		1437					3	2	2	1						33	2																																																																																																
2070213	20702	13			1	4	9	24500					1	2070205	3				1	2070205	4																																														1	119	1	2			119	2	2			119	3	1																		1																															2		1437					3	2	2	1						33	2																																																																																																
2070214	20702	14			1	4	9	24500					1	2070208	3				1	2070209	3																																														1	24	2070214			3																										2																															2		1437					3	2	2	1																																																																																																							
2070301	20703	1					9	24600																																																											2	2	2070303				2	2070302																																																							2	1	1555					3	2	2				1																																																															19	3	133001395,1																												1555		1100					
2070302	20703	4	1			1	9	24600					1	2070301	3																																																					5	100525			3																																																									1		Q20703_Target	20				3	2	2				1			23	2070306	1																																																																																								1555		1100					
2070303	20703	7				1	9	24600					1	2070302	3																																																					2	2070305																																																												2	1	1555					3	3	2		1		1			29	100525					24	24600					27	3	133001395,1																																																																												1555		1100					
2070304	20703	2	1			1	9	24600					1	2070301	3																																																					5	100525			1																																																																3		2	1			1			23	2070306	1																																																																																								1555		1100					
2070305	20703	3	1			1	9	24600					1	2070301	3																																																					5	100525			2																																																																3		2	1			1			23	2070306	1																																																																																								1555		1100					
2070306	20703	5			1	1	9	24600					1	2070301	3																																																					24	2070306			3																																																																3	2	2	1			1			23	2070307	1																																																																																															
2070307	20703	6			1	1	9	24600					1	2070301	3																																																					24	2070307			1																																																																3	2	2	1			1																																																															27	3	133001395,2																																			
2070401	20704	1					9	27700																																																												2	2070405																																																												2		2093					3	1	2				1	100526	3																																																													19	3	133107097,1				19	3	133107096,1																								1100					
2070402	20704	2					9	27700					1	2070401	3																																																					20			13310709601	3																																																									1		Q20704_Target					3	2	2				1																																																															19	3	133107096,2																												2211		1100					
